text,sentiment
还可以、环境很好、服务还可以、味道整体只能说中规中矩，人均不高，今天团的2人餐，外点一份手打牛肉丸🍡，没吃完打包回来了,positive
非常好吃 服务态度也很好 上菜有点慢，人很多 羊肉有腥味，牛肉很好吃,positive
111号服务员服务非常周到！！,positive
013号阿姨很热情，服务很好，给我们乘果汁，小吃，还赠了我们一盘果盘，雪糕。环境也很舒适，高端，肉也很好吃，下次还会再来。,positive
虽然吃饭过程中出了点小插曲，但是店员处理的很好，店里服务员也很热情，强烈推荐,positive
口味好服务周到性价比高，强烈推荐,positive
太棒啦！,positive
店里环境古香古色，013号服务员特别亲切贴心,positive
013 【服务】很好周到 【环境】不错,positive
突然意识到手擀面没上！！！天啊！ 服务挺好,positive
服务很周到，就是人太多了，等位置要等很久，要有思想准备，饭菜性价比很高。,positive
很不错,positive
味道不错，服务很好！,positive
【口味】还行，麻将8元一份，其他的自己调 【环境】还可以，适合小聚一下 【服务】优 【等位】看时间和天气情况定,positive
03号服务员姐姐巨热情，菜品也很好，👍👍👍👍,positive
非常好👍,positive
俩人点了4个肉，果然吃撑了。一如既往的好，每次过生日都来,positive
套餐很不好呀，菌类太多了。我平时是很喜欢吃菌类的，但今天还是剩了很多。,negative
服务好羊肉火锅好吃 #秘制酸梅汤# #麻酱小料# #极品羊肉# #精品肥牛# #宽粉# #火锅# #蔬菜拼盘# #特价肥牛# #菌类拼盘#,positive
菜品味道不错，服务态度特别好，服务人员特别热情,positive
来了很多次啦，013的阿姨服务态度特别好，特别亲切，让人有一种回家的感觉，店里羊肉的味道特别正宗，木耳特别好吃，菜品都不错，推荐大家来~ #秘制酸梅汤# #极品羊肉# #蔬菜拼盘#,positive
很棒，工号013阿姨很热情，很周到。菜量很足，满意。,positive
非常好吃，服务热情周到，环境舒适,positive
经常去他家 一如既往的好 菜品新鲜 服务贴心 环境优雅 #宽粉# #菜汁面# #大拌菜# #手打鱼滑# #麻团# #牛腱子#,positive
服务热情、周到，环境不错、上菜快、肉类品质有保障，还会专的。,positive
013号大姐服务特别热情周到，菜品质优价廉，棒！,positive
爸爸刚来北京，今天带爸爸出来吃点好吃，所以选择了这家店，之前跟朋友一起来过，所以今天带爸爸过来，刚坐下，服务员就过来给我们点餐，点完餐，菜一会儿就上了，上菜速度挺快的，特别是服务员工号066态度特别好，也特别周到，看到她不停的在忙，挺辛苦的，女孩也特别好，下次还会推荐朋友过来，,positive
菜品好、价格实惠，服务👌，已经连续吃三次了，强烈推荐,positive
太划算了，阿姨服务态度也特别好，送了我们一份凉菜，买单后又送了我们每个人一个冰激淋小布丁，下次还来哈哈,positive
肉质细嫩鲜美，服务热情周到，环境优雅。,positive
工号013的姐姐很热心、很体贴哦，店里停电了还帮我们拿雪糕吃，送了水果盘，大赞，下次来北京必须还来！！！ #极品羊肉# #精品肥牛# #麻酱小料#,positive
不错，很满意，口味也挺正的，里面还有小吃，饮料！服务周到，013号服务员服务挺好的，很及时帮忙加汤，询问的菜单也很仔细！经常来这家吃饭，门口有停车位！,positive
013大姐服务特别周到，强烈推荐,positive
体验感💯。传统京味火锅。香辣味好好吃。006 号员工超贴心，交流中得知是暑期兼职的学生，新员工都培训地这么棒！饭后送了果盘和小布丁雪糕。超级满意！,positive
对于四个大小伙子来说套餐里的菜有点多，要是能换成肉就好了,neutral
013超级好，太好吃，服务堪比海底捞，分量超级足，还剩了好多,positive
013大姐服务态度好、热情服务周到、送水果、菜品有特色、照顾小朋友贴身,positive
强烈推荐，环境很好，味道很好，服务很好，饮料免费,positive
特别好！！！！阿姨人太好了！！！！！！阿姨人超级好！！！特别的热情！！！并且特别的大方！！！！！大爱阿姨~~~~~因为是整个宿舍去聚餐，都是女生，所以阿姨好心的让我们不要点那么多的东西~~~阿姨人太好了~~~~~ #鲜虾滑# #冻豆腐# #牛肉丸# #香辣锅#,positive
服务非常好 就是免费的饮料兑水有点太多了 已经没味道了 菜品不错 味道很好,positive
团的二人餐128，分量足，肉很好吃，菜和面都没吃完，饮料和小吃免费，服务很好。,positive
服务很好，菜品都不错，环境很好， #鲜虾滑# #鲜牛羊组合# #太阳肉#,positive
吃过好几次啦 每次都吃撑 性价比还是很高的,positive
菜品非常好吃，价格也比较优惠，点了四人套餐赠送很多小菜，服务十分贴心，自助免费赠送饮料，还送了西瓜，雪糕等等。,positive
013服务热情周到，超出想像，照顾小朋友很贴心，包给盖好，赠送水果冰棍。,positive
013服务员服务特别热情,positive
013工号阿姨好评～非常热情,positive
味道还不错，肉品在搞活动有特价的，挺好的！,positive
味道不错，环境也还可以，就是有点偏,positive
服务很好，大姐很热情，干净整洁，推荐推荐，嘿嘿， #精品肥牛# #极品羊肉# #火锅#,positive
挺值的，免费饮料也很好喝，还送了个凉拌菜，推荐,positive
服务态度很好，菜品也很新鲜。主要是喜欢他家的锅，一上一下……,positive
服务态度超级好，味道也还行，阿姨姐姐人也太好了，给我们送了乾隆白菜，最后吃完还给送了冰棍,positive
超级好吃，每次聚餐都去这儿，服务员很热情,positive
性价比高，口味也不错，推荐！ #极品羊肉# #菌类拼盘#,positive
服务还是很棒的，味道不错，还送了小礼品，果盘，真心不错,positive
